Target Distance: 10, Step Size: 1
80: (x,y) = (-7.04838, 0.0066116)
81: (x,y) = (-7.3904, -0.933081)
82: (x,y) = (-7.96398, -1.75223)
83: (x,y) = (-8.8386, -2.23704)
84: (x,y) = (-8.1566, -1.50569)
85: (x,y) = (-7.41346, -2.17482)
86: (x,y) = (-7.07144, -3.11451)
87: (x,y) = (-6.6647, -4.02806)
88: (x,y) = (-5.73112, -3.66969)
89: (x,y) = (-4.96507, -3.0269)
90: (x,y) = (-4.89532, -2.02934)
91: (x,y) = (-5.86969, -2.25429)
92: (x,y) = (-5.56067, -1.30323)
93: (x,y) = (-4.60437, -1.01086)
94: (x,y) = (-3.63844, -0.752042)
95: (x,y) = (-2.65681, -0.561233)
96: (x,y) = (-1.75051, -0.983851)
97: (x,y) = (-2.25051, -1.84988)
98: (x,y) = (-2.90656, -2.60459)
99: (x,y) = (-3.24858, -1.66489)
100: (x,y) = (-3.95569, -2.372)
101: (x,y) = (-3.03519, -2.76273)
102: (x,y) = (-2.91332, -1.77019)
103: (x,y) = (-2.03037, -2.23966)
104: (x,y) = (-2.54541, -3.09682)
105: (x,y) = (-2.59774, -4.09545)
106: (x,y) = (-3.57937, -3.90464)
107: (x,y) = (-4.13856, -4.73368)
108: (x,y) = (-3.35055, -4.11802)
109: (x,y) = (-2.39425, -4.41039)
110: (x,y) = (-3.2134, -3.83682)
111: (x,y) = (-4.04244, -4.39601)
112: (x,y) = (-3.3231, -3.70135)
113: (x,y) = (-4.22941, -4.12397)
114: (x,y) = (-4.53842, -5.07503)
115: (x,y) = (-5.48394, -5.40059)
116: (x,y) = (-5.29313, -6.38222)
117: (x,y) = (-5.51808, -7.35659)
118: (x,y) = (-5.11135, -8.27014)
119: (x,y) = (-4.32334, -7.65447)
120: (x,y) = (-3.33307, -7.79365)
121: (x,y) = (-3.54098, -6.8155)
122: (x,y) = (-4.43199, -7.26949)
123: (x,y) = (-4.00937, -8.1758)
124: (x,y) = (-3.21073, -7.57398)
125: (x,y) = (-2.55467, -6.81927)
126: (x,y) = (-2.88024, -7.76479)
127: (x,y) = (-3.25485, -8.69198)
128: (x,y) = (-4.14585, -8.23799)
129: (x,y) = (-3.80383, -9.17768)
After 130 steps, the subject has the following location:
(x,y) = (-4.71014, -9.6003)
 or
(m,a) = (10.6935, -116.134)
Average outward distance per step = 0.0822578
Target Distance: 20, Step Size: 1
0: (x,y) = (0, 0)
1: (x,y) = (-0.681998, -0.731354)
2: (x,y) = (-1.24119, 0.0976839)
3: (x,y) = (-1.31095, 1.09525)
4: (x,y) = (-1.01858, 0.138943)
5: (x,y) = (-1.68771, -0.604202)
6: (x,y) = (-1.28097, 0.309344)
7: (x,y) = (-0.826979, -0.581663)
8: (x,y) = (-0.028344, 0.0201523)
9: (x,y) = (0.946026, -0.204799)
10: (x,y) = (1.47595, 0.643249)
11: (x,y) = (2.427, 0.952266)
12: (x,y) = (3.36058, 0.593898)
13: (x,y) = (3.48245, 1.58644)
14: (x,y) = (4.42797, 1.91201)
15: (x,y) = (4.0696, 2.84559)
16: (x,y) = (3.91317, 3.83328)
17: (x,y) = (4.63251, 3.13862)
18: (x,y) = (5.38722, 2.48256)
19: (x,y) = (6.38585, 2.5349)
20: (x,y) = (6.76045, 3.46208)
21: (x,y) = (5.82687, 3.82045)
22: (x,y) = (4.92057, 3.39783)
23: (x,y) = (5.14552, 4.3722)
24: (x,y) = (4.78715, 5.30578)
25: (x,y) = (4.30234, 4.43116)
26: (x,y) = (5.22284, 4.04043)
27: (x,y) = (4.89728, 3.09491)
28: (x,y) = (4.4589, 3.99371)
29: (x,y) = (3.46027, 4.04604)
30: (x,y) = (3.10191, 4.97963)
31: (x,y) = (3.93094, 4.42043)
32: (x,y) = (4.80556, 4.90524)
33: (x,y) = (5.80313, 4.975)
34: (x,y) = (5.83803, 3.97561)
35: (x,y) = (6.29202, 4.86661)
36: (x,y) = (5.6902, 4.06798)
37: (x,y) = (4.70858, 4.25879)
38: (x,y) = (3.94253, 4.90158)
39: (x,y) = (2.98623, 5.19395)
40: (x,y) = (3.60189, 5.98196)
41: (x,y) = (3.24352, 5.04838)
42: (x,y) = (4.10069, 4.53334)
43: (x,y) = (4.83204, 5.21534)
44: (x,y) = (5.07396, 6.18563)
45: (x,y) = (4.07533, 6.23797)
46: (x,y) = (3.2463, 6.79716)
47: (x,y) = (3.66891, 5.89085)
48: (x,y) = (3.72125, 6.88948)
49: (x,y) = (2.86408, 6.37445)
50: (x,y) = (3.58342, 5.67979)
51: (x,y) = (4.30276, 6.37445)
52: (x,y) = (3.53672, 7.01723)
53: (x,y) = (4.43551, 7.4556)
54: (x,y) = (4.27908, 6.46792)
55: (x,y) = (5.27664, 6.53767)
56: (x,y) = (6.27649, 6.52022)
57: (x,y) = (6.36365, 7.51641)
58: (x,y) = (7.36227, 7.46408)
59: (x,y) = (6.70622, 6.70937)
60: (x,y) = (7.48336, 6.08005)
61: (x,y) = (7.70831, 7.05442)
62: (x,y) = (7.84749, 8.04469)
63: (x,y) = (8.6565, 7.4569)
64: (x,y) = (9.57701, 7.84763)
65: (x,y) = (8.93422, 8.61368)
66: (x,y) = (8.79505, 7.62341)
67: (x,y) = (9.15341, 6.68983)
68: (x,y) = (10.1097, 6.9822)
69: (x,y) = (9.56508, 7.82087)
70: (x,y) = (9.00589, 8.64991)
71: (x,y) = (9.16232, 9.6376)
72: (x,y) = (8.88668, 8.67634)
73: (x,y) = (8.20469, 9.40769)
74: (x,y) = (7.29114, 9.00095)
75: (x,y) = (6.90041, 9.92146)
76: (x,y) = (5.94935, 9.61244)
77: (x,y) = (6.27492, 10.558)
78: (x,y) = (5.37613, 10.9963)
79: (x,y) = (6.24215, 11.4963)
80: (x,y) = (5.43314, 10.9085)
81: (x,y) = (4.51263, 10.5178)
82: (x,y) = (5.43981, 10.8924)
83: (x,y) = (6.43844, 10.8401)
84: (x,y) = (5.45364, 10.6664)
85: (x,y) = (4.46883, 10.4928)
86: (x,y) = (3.95379, 9.63562)
87: (x,y) = (3.4998, 8.74461)
88: (x,y) = (3.44746, 9.74324)
89: (x,y) = (2.68142, 10.386)
90: (x,y) = (2.16638, 11.2432)
91: (x,y) = (1.77565, 12.1637)
92: (x,y) = (2.76334, 12.3201)
93: (x,y) = (2.76334, 11.3201)
94: (x,y) = (3.51805, 11.9762)
95: (x,y) = (3.22568, 11.0199)
96: (x,y) = (2.42704, 10.4181)
97: (x,y) = (1.6499, 11.0474)
98: (x,y) = (2.60095, 10.7384)
99: (x,y) = (2.95932, 9.8048)
100: (x,y) = (3.71403, 9.14874)
101: (x,y) = (2.94798, 9.79153)
102: (x,y) = (1.9603, 9.94796)
103: (x,y) = (1.2783, 9.21661)
104: (x,y) = (2.15292, 8.7318)
105: (x,y) = (2.44529, 9.6881)
106: (x,y) = (2.85203, 10.6016)
107: (x,y) = (2.79969, 11.6003)
108: (x,y) = (3.35888, 10.7712)
109: (x,y) = (2.51084, 11.3012)
110: (x,y) = (2.8692, 10.3676)
111: (x,y) = (3.80278, 10.0092)
112: (x,y) = (3.01477, 10.6249)
113: (x,y) = (2.59215, 11.5312)
114: (x,y) = (1.68585, 11.1086)
115: (x,y) = (2.66747, 10.9178)
116: (x,y) = (2.66747, 11.9178)
117: (x,y) = (1.67979, 11.7613)
118: (x,y) = (2.65793, 11.5534)
119: (x,y) = (2.64048, 12.5533)
120: (x,y) = (3.12529, 11.6786)
121: (x,y) = (2.83292, 10.7223)
122: (x,y) = (3.83048, 10.6526)
123: (x,y) = (3.08734, 9.98344)
124: (x,y) = (3.98613, 9.54507)
125: (x,y) = (3.84696, 10.5353)
126: (x,y) = (3.79462, 11.534)
127: (x,y) = (4.23299, 12.4328)
128: (x,y) = (4.35486, 11.4402)
129: (x,y) = (3.36232, 11.5621)
130: (x,y) = (4.35486, 11.684)
131: (x,y) = (4.28511, 12.6815)
132: (x,y) = (3.60311, 11.9502)
133: (x,y) = (4.39112, 11.3345)
134: (x,y) = (3.39356, 11.2648)
135: (x,y) = (3.92347, 12.1128)
136: (x,y) = (4.81448, 12.5668)
137: (x,y) = (5.32952, 13.424)
138: (x,y) = (4.66039, 12.6808)
139: (x,y) = (5.63068, 12.9227)
140: (x,y) = (4.83205, 12.3209)
141: (x,y) = (4.10069, 13.0029)
142: (x,y) = (3.18715, 13.4097)
143: (x,y) = (2.97924, 14.3878)
144: (x,y) = (3.17005, 13.4062)
145: (x,y) = (3.97906, 13.994)
146: (x,y) = (3.44914, 14.842)
147: (x,y) = (4.07846, 14.0649)
148: (x,y) = (4.63766, 13.2358)
149: (x,y) = (5.63385, 13.323)
150: (x,y) = (4.72031, 12.9162)
151: (x,y) = (4.39474, 11.9707)
152: (x,y) = (3.41659, 12.1786)
153: (x,y) = (2.4463, 11.9367)
154: (x,y) = (2.32443, 10.9442)
155: (x,y) = (2.71516, 10.0237)
156: (x,y) = (1.91652, 10.6255)
157: (x,y) = (2.65967, 11.2946)
158: (x,y) = (2.46886, 12.2762)
159: (x,y) = (2.95367, 13.1509)
160: (x,y) = (3.14448, 12.1692)
161: (x,y) = (3.21423, 11.1717)
162: (x,y) = (2.9386, 12.1329)
163: (x,y) = (2.76495, 11.1481)
164: (x,y) = (2.19137, 11.9673)
165: (x,y) = (1.217, 12.1922)
166: (x,y) = (0.255739, 11.9166)
167: (x,y) = (-0.198251, 12.8076)
168: (x,y) = (-1.19764, 12.7727)
169: (x,y) = (-0.314695, 12.3032)
170: (x,y) = (-0.91651, 11.5046)
171: (x,y) = (-0.541903, 12.4318)
172: (x,y) = (0.332717, 11.947)
173: (x,y) = (-0.496321, 11.3878)
174: (x,y) = (-1.02624, 10.5397)
175: (x,y) = (-0.0699355, 10.2473)
176: (x,y) = (0.886369, 10.5397)
177: (x,y) = (1.71541, 9.98052)
178: (x,y) = (1.80256, 10.9767)
179: (x,y) = (2.78071, 10.7688)
180: (x,y) = (3.3399, 11.5978)
181: (x,y) = (3.91348, 12.417)
182: (x,y) = (3.77431, 11.4267)
183: (x,y) = (4.7705, 11.3396)
184: (x,y) = (5.39982, 12.1167)
185: (x,y) = (6.18783, 11.5011)
186: (x,y) = (6.20528, 12.5009)
187: (x,y) = (6.18783, 11.5011)
188: (x,y) = (6.56244, 10.5739)
189: (x,y) = (7.46123, 10.1355)
190: (x,y) = (7.86797, 11.049)
191: (x,y) = (6.86812, 11.0316)
192: (x,y) = (7.82443, 10.7392)
193: (x,y) = (8.71543, 11.1932)
194: (x,y) = (9.70996, 11.2977)
195: (x,y) = (9.93491, 12.2721)
196: (x,y) = (9.64253, 11.3158)
197: (x,y) = (10.0965, 10.4248)
198: (x,y) = (11.0668, 10.6667)
199: (x,y) = (10.067, 10.6493)
200: (x,y) = (9.75796, 9.69821)
201: (x,y) = (10.4773, 9.00356)
202: (x,y) = (10.9468, 8.12061)
203: (x,y) = (10.9817, 7.12122)
204: (x,y) = (9.98912, 7.24309)
205: (x,y) = (9.93678, 6.24446)
206: (x,y) = (10.6059, 6.9876)
207: (x,y) = (10.3471, 6.02168)
208: (x,y) = (9.40158, 5.69611)
209: (x,y) = (8.58243, 6.26968)
210: (x,y) = (9.40158, 5.69611)
211: (x,y) = (10.3526, 6.00513)
212: (x,y) = (9.88316, 5.12218)
213: (x,y) = (9.46054, 6.02849)
214: (x,y) = (10.4116, 6.3375)
215: (x,y) = (11.4078, 6.25035)
216: (x,y) = (11.8145, 5.3368)
217: (x,y) = (10.8533, 5.06116)
218: (x,y) = (11.8519, 5.1135)
219: (x,y) = (11.2091, 4.34746)
220: (x,y) = (11.8109, 5.14609)
221: (x,y) = (10.8164, 5.25062)
222: (x,y) = (10.6428, 6.23543)
223: (x,y) = (11.5991, 5.94306)
224: (x,y) = (11.0691, 5.09501)
225: (x,y) = (12.0351, 4.83619)
226: (x,y) = (11.7261, 5.78724)
227: (x,y) = (11.5869, 6.77751)
228: (x,y) = (12.5205, 6.41914)
229: (x,y) = (13.513, 6.29728)
230: (x,y) = (13.5305, 5.29743)
231: (x,y) = (14.1996, 6.04057)
232: (x,y) = (14.5416, 6.98027)
233: (x,y) = (15.1844, 7.74631)
234: (x,y) = (14.2934, 7.29232)
235: (x,y) = (14.4498, 8.28001)
236: (x,y) = (13.5043, 7.95444)
237: (x,y) = (13.5218, 6.95459)
238: (x,y) = (14.0066, 6.07997)
239: (x,y) = (13.433, 6.89912)
240: (x,y) = (13.0746, 5.96554)
241: (x,y) = (14.0082, 6.32391)
242: (x,y) = (14.4777, 5.44096)
243: (x,y) = (13.8759, 6.2396)
244: (x,y) = (13.0098, 6.7396)
245: (x,y) = (13.8485, 7.28424)
246: (x,y) = (12.8523, 7.19708)
247: (x,y) = (12.1832, 6.45394)
248: (x,y) = (11.3002, 5.98447)
249: (x,y) = (12.2207, 5.59374)
250: (x,y) = (11.6615, 6.42277)
251: (x,y) = (11.8352, 7.40758)
252: (x,y) = (12.8055, 7.16566)
253: (x,y) = (13.1311, 6.22014)
254: (x,y) = (13.2702, 7.21041)
255: (x,y) = (13.1138, 8.1981)
256: (x,y) = (12.1866, 8.5727)
257: (x,y) = (11.8776, 7.62165)
258: (x,y) = (12.8557, 7.82956)
259: (x,y) = (13.3252, 6.94661)
260: (x,y) = (14.1733, 6.41669)
261: (x,y) = (14.761, 7.22571)
262: (x,y) = (15.3057, 6.38704)
263: (x,y) = (14.4227, 5.91757)
264: (x,y) = (13.6347, 5.3019)
265: (x,y) = (12.6372, 5.23215)
266: (x,y) = (13.3192, 5.9635)
267: (x,y) = (12.3375, 5.77269)
268: (x,y) = (13.3374, 5.79015)
269: (x,y) = (13.4419, 4.79562)
270: (x,y) = (14.3079, 5.29562)
271: (x,y) = (13.5093, 4.69381)
272: (x,y) = (14.4706, 4.96945)
273: (x,y) = (15.4365, 4.71063)
274: (x,y) = (14.7418, 5.42997)
275: (x,y) = (13.8938, 4.90005)
276: (x,y) = (14.8719, 5.10796)
277: (x,y) = (14.4812, 6.02846)
278: (x,y) = (13.7265, 6.68452)
279: (x,y) = (13.8657, 5.69425)
280: (x,y) = (13.2638, 4.89562)
281: (x,y) = (13.2813, 5.89547)
282: (x,y) = (12.2888, 6.01734)
283: (x,y) = (11.8504, 5.11854)
284: (x,y) = (10.8941, 5.41091)
285: (x,y) = (11.4533, 6.23995)
286: (x,y) = (12.4314, 6.44786)
287: (x,y) = (12.7238, 7.40417)
288: (x,y) = (13.2537, 6.55612)
289: (x,y) = (12.9447, 7.50718)
290: (x,y) = (13.9409, 7.59433)
291: (x,y) = (13.3531, 8.40335)
292: (x,y) = (14.2519, 8.84172)
293: (x,y) = (14.3217, 7.84416)
294: (x,y) = (14.3042, 6.84431)
295: (x,y) = (14.906, 7.64294)
296: (x,y) = (14.5476, 6.70936)
297: (x,y) = (13.6341, 6.30263)
298: (x,y) = (13.0605, 5.48348)
299: (x,y) = (13.7033, 6.24952)
300: (x,y) = (13.4109, 7.20582)
301: (x,y) = (14.0801, 7.94897)
302: (x,y) = (13.2921, 7.33331)
303: (x,y) = (13.6667, 8.26049)
304: (x,y) = (13.8916, 9.23486)
305: (x,y) = (14.8764, 9.06121)
306: (x,y) = (14.8764, 8.06121)
307: (x,y) = (15.7245, 7.53129)
308: (x,y) = (15.9833, 6.56537)
309: (x,y) = (16.9827, 6.60027)
310: (x,y) = (16.4827, 7.46629)
311: (x,y) = (16.8083, 8.41181)
312: (x,y) = (16.6864, 9.40436)
313: (x,y) = (15.8477, 9.949)
314: (x,y) = (14.9905, 10.464)
315: (x,y) = (14.7656, 9.48966)
316: (x,y) = (14.0463, 10.1843)
317: (x,y) = (15.0424, 10.0972)
318: (x,y) = (15.9821, 10.4392)
319: (x,y) = (15.1531, 10.9984)
320: (x,y) = (14.2134, 10.6564)
321: (x,y) = (13.2679, 10.9819)
322: (x,y) = (13.8125, 10.1433)
323: (x,y) = (13.5035, 9.1922)
324: (x,y) = (12.6047, 9.63057)
325: (x,y) = (11.6984, 10.0532)
326: (x,y) = (11.4396, 11.0191)
327: (x,y) = (11.798, 11.9527)
328: (x,y) = (11.7631, 12.9521)
329: (x,y) = (10.8721, 12.4981)
330: (x,y) = (11.8231, 12.8071)
331: (x,y) = (12.6977, 12.3223)
332: (x,y) = (11.6979, 12.3049)
333: (x,y) = (10.7843, 12.7116)
334: (x,y) = (10.0772, 13.4187)
335: (x,y) = (10.0598, 12.4188)
336: (x,y) = (11.0446, 12.2452)
337: (x,y) = (10.6062, 11.3464)
338: (x,y) = (11.5878, 11.1556)
339: (x,y) = (12.5622, 10.9306)
340: (x,y) = (11.566, 11.0178)
341: (x,y) = (10.6001, 11.2766)
342: (x,y) = (10.1306, 12.1596)
343: (x,y) = (9.90567, 11.1852)
344: (x,y) = (10.4649, 10.3562)
345: (x,y) = (11.3712, 10.7788)
346: (x,y) = (12.3455, 11.0037)
347: (x,y) = (11.5365, 11.5915)
348: (x,y) = (12.3752, 12.1362)
349: (x,y) = (13.3697, 12.0316)
350: (x,y) = (14.3696, 12.0142)
351: (x,y) = (13.4133, 11.7218)
352: (x,y) = (12.8686, 12.5605)
353: (x,y) = (12.0026, 12.0605)
354: (x,y) = (13.0002, 11.9907)
355: (x,y) = (12.7922, 12.9689)
356: (x,y) = (12.0851, 12.2618)
357: (x,y) = (13.0362, 12.5708)
358: (x,y) = (12.3671, 11.8276)
359: (x,y) = (13.3374, 11.5857)
360: (x,y) = (13.2155, 12.5783)
361: (x,y) = (12.2169, 12.6306)
362: (x,y) = (12.924, 13.3377)
363: (x,y) = (12.9414, 14.3375)
After 364 steps, the subject has the following location:
(x,y) = (12.9763, 15.3369)
 or
(m,a) = (20.09, 49.766)
Average outward distance per step = 0.0551922
Bye!
